0,1,2,3,4,5,6,7,8,9,10,11,12,13
Very high human development,,,,,,,,,,,,,
1,Switzerland,0.967,0.891,7.9,0.971,2,0.018,3,..,..,..,0.826,14.6
2,Norway,0.966,0.903,6.5,0.986,1,0.012,2,..,..,..,0.808,16.4
3,Iceland,0.959,0.910,5.1,0.975,1,0.039,9,..,..,..,0.806,16.0
4,"Hong Kong, China (SAR)",0.956,0.840,12.1,0.972,2,..,..,..,..,..,..,..
5,Denmark,0.952,0.898,5.7,0.981,1,0.009,1,..,..,..,0.839,11.9
5,Sweden,0.952,0.878,7.8,0.983,1,0.023,4,..,..,..,0.839,11.9
7,Germany,0.950,0.881,7.3,0.966,2,0.071,19,..,..,..,0.833,12.3
7,Ireland,0.950,0.886,6.7,0.991,1,0.072,20,..,..,..,0.814,14.3
9,Singapore,0.949,0.825,13.1,0.991,1,0.036,8,..,..,..,0.745,21.5
10,Australia,0.946,0.860,9.1,0.978,1,0.063,17,..,..,..,0.763,19.3
10,Netherlands,0.946,0.885,6.4,0.960,2,0.025,5,..,..,..,0.796,15.9
12,Belgium,0.942,0.878,6.8,0.975,1,0.044,11,..,..,..,0.803,14.8
12,Finland,0.942,0.886,5.9,0.989,1,0.032,6,..,..,..,0.787,16.5
12,Liechtenstein,0.942,..,..,0.949,3,..,..,..,..,..,..,..
15,United Kingdom,0.940,0.865,8.0,0.976,1,0.094,28,..,..,..,0.846,10.0
16,New Zealand,0.939,0.856,8.8,0.970,2,0.082,23,..,..,..,0.814,13.3
17,United Arab Emirates,0.937,0.859,8.3,0.986,1,0.035,7,..,..,..,0.688,26.6
18,Canada,0.935,0.864,7.6,0.988,1,0.069,18,..,..,..,0.726,22.4
19,Korea (Republic of),0.929,0.841,9.5,0.948,3,0.062,16,..,..,..,0.775,16.6
20,Luxembourg,0.927,0.839,9.5,0.993,1,0.043,10,..,..,..,0.685,26.1
20,United States,0.927,0.823,11.2,1.005,1,0.180,44,..,..,..,0.740,20.2
22,Austria,0.926,0.859,7.2,0.972,2,0.048,12,..,..,..,0.789,14.8
22,Slovenia,0.926,0.882,4.8,0.999,1,0.049,13,..,..,..,0.832,10.2
24,Japan,0.920,0.844,8.3,0.968,2,0.078,22,..,..,..,0.809,12.1
25,Israel,0.915,0.808,11.7,0.991,1,0.092,26,..,..,..,0.780,14.8
25,Malta,0.915,0.837,8.5,0.980,1,0.117,35,..,..,..,0.806,11.9
27,Spain,0.911,0.796,12.6,0.988,1,0.059,15,..,..,..,0.839,7.9
28,France,0.910,0.820,9.9,0.986,1,0.084,24,..,..,..,0.823,9.6
29,Cyprus,0.907,0.827,8.8,0.977,1,0.253,62,..,..,..,0.803,11.5
30,Italy,0.906,0.802,11.5,0.969,2,0.057,14,..,..,..,0.825,8.9
31,Estonia,0.899,0.835,7.1,1.022,1,0.093,27,..,..,..,0.766,14.8
32,Czechia,0.895,0.848,5.3,0.988,1,0.113,32,..,..,..,0.782,12.6
33,Greece,0.893,0.801,10.3,0.969,2,0.120,37,..,..,..,0.809,9.4
34,Bahrain,0.888,..,..,0.937,3,0.181,45,..,..,..,0.673,24.2
35,Andorra,0.884,0.810,8.4,..,..,..,..,..,..,..,..,..
36,Poland,0.881,0.797,9.5,1.009,1,0.105,31,..,..,..,0.780,11.5
37,Latvia,0.879,0.802,8.8,1.022,1,0.142,39,..,..,..,0.782,11.0
37,Lithuania,0.879,0.795,9.6,1.028,2,0.098,30,..,..,..,0.748,14.9
39,Croatia,0.878,0.817,6.9,0.993,1,0.087,25,..,..,..,0.807,8.1
40,Qatar,0.875,..,..,1.027,2,0.212,54,..,..,..,0.450,48.6
40,Saudi Arabia,0.875,..,..,0.928,3,0.229,55,..,..,..,0.690,21.1
42,Portugal,0.874,0.774,11.4,0.998,1,0.076,21,..,..,..,0.807,7.7
43,San Marino,0.867,..,..,0.966,2,..,..,..,..,..,..,..
44,Chile,0.860,0.704,18.1,0.973,2,0.190,49,..,..,..,0.786,8.6
45,Slovakia,0.855,0.808,5.5,1.002,1,0.184,46,..,..,..,0.776,9.2
45,Türkiye,0.855,0.717,16.1,0.941,3,0.259,63,..,..,..,0.783,8.4
